probeid	name_show	type	pubchemid	cmpdsynonym	mw	mf	polararea	complexity	xlogp	heavycnt	hbonddonor	hbondacc	rotbonds	inchi	isosmiles	canonicalsmiles	inchikey	iupacname
LDPC0311	C053	PAL-AfBPP Probe	146152986	.	350.249	C17H17Cl2N3O	45.03	349.0748675	4.2338	23	0	3	5	InChI=1S/C17H17Cl2N3O/c1-2-3-8-17(20-21-17)9-6-15(23)22-10-7-12-4-5-14(18)16(19)13(12)11-22/h1,4-5H,3,6-11H2	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N2C([H])([H])c3c(Cl)c(Cl)c([H])c([H])c3C([H])([H])C2([H])[H])N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N2C([H])([H])c3c(Cl)c(Cl)c([H])c([H])c3C([H])([H])C2([H])[H])N=N1	CVKJHUYADURYJR-UHFFFAOYSA-N	.
LDPC0312	C055	PAL-AfBPP Probe	146152889	Z4282859671	349.4	C17H21F2N5O	82.5	579	2.4	25	2	6	8	InChI=1S/C17H21F2N5O/c1-2-3-9-16(23-24-16)10-8-14(25)20-11-17(18,19)15-12-6-4-5-7-13(12)21-22-15/h1H,3-11H2,(H,20,25)(H,21,22)	C#CCCC1(N=N1)CCC(=O)NCC(C2=NNC3=C2CCCC3)(F)F	C#CCCC1(N=N1)CCC(=O)NCC(C2=NNC3=C2CCCC3)(F)F	FZKVXDXDOKTZKM-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[2,2-difluoro-2-(4,5,6,7-tetrahydro-1H-indazol-3-yl)ethyl]propanamide
LDPC0313	C056	PAL-AfBPP Probe	146149839	Z3433407586	347.4	C19H17N5O2	95.6	606	2.8	26	2	5	7	InChI=1S/C19H17N5O2/c1-2-3-8-19(23-24-19)9-10-20-18(25)14-12-21-22-17(14)16-11-13-6-4-5-7-15(13)26-16/h1,4-7,11-12H,3,8-10H2,(H,20,25)(H,21,22)	C#CCCC1(N=N1)CCNC(=O)C2=C(NN=C2)C3=CC4=CC=CC=C4O3	C#CCCC1(N=N1)CCNC(=O)C2=C(NN=C2)C3=CC4=CC=CC=C4O3	FOWQQPALPXONHH-UHFFFAOYSA-N	5-(1-benzofuran-2-yl)-N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-1H-pyrazole-4-carboxamide
LDPC0314	C057	PAL-AfBPP Probe	146153019	.	346.391	C16H22N6O3	113.99	346.1753386	0.4298	25	2	8	10	InChI=1S/C16H22N6O3/c1-2-3-5-16(19-20-16)6-4-15(24)17-7-12-10-25-11-14(12)22-8-13(9-23)18-21-22/h1,8,12,14,23H,3-7,9-11H2,(H,17,24)/t12-,14-/m1/s1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[C@]2([H])C([H])([H])OC([H])([H])[C@@]2([H])n2nnc(C([H])([H])O[H])c2[H])N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C2([H])C([H])([H])OC([H])([H])C2([H])n2nnc(C([H])([H])O[H])c2[H])N=N1	SEYKEGBQBHXPLB-TZMCWYRMSA-N	.
LDPC0315	C058	PAL-AfBPP Probe	146152654	Z4225971868	344.33	C15H19F3N4O2	82.9	587	1.3	24	2	7	7	InChI=1S/C15H19F3N4O2/c1-2-3-5-14(21-22-14)7-8-19-12(24)9-13(15(16,17)18)6-4-11(23)20-10-13/h1H,3-10H2,(H,19,24)(H,20,23)	C#CCCC1(N=N1)CCNC(=O)CC2(CCC(=O)NC2)C(F)(F)F	C#CCCC1(N=N1)CCNC(=O)CC2(CCC(=O)NC2)C(F)(F)F	PQWCIQBKXZOPSJ-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-[6-oxo-3-(trifluoromethyl)piperidin-3-yl]acetamide
LDPC0316	C059	PAL-AfBPP Probe	146152634	Z4225961317	343.5	C20H29N3O2	74	664	2.7	25	2	4	6	InChI=1S/C20H29N3O2/c1-4-5-6-20(22-23-20)7-8-21-15(24)18-10-16(2)9-17(3,11-18)13-19(25,12-16)14-18/h1,25H,5-14H2,2-3H3,(H,21,24)	CC12CC3(CC(C1)(CC(C2)(C3)O)C(=O)NCCC4(N=N4)CCC#C)C	CC12CC3(CC(C1)(CC(C2)(C3)O)C(=O)NCCC4(N=N4)CCC#C)C	ANVIOIPWLFOQMA-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-3-hydroxy-5,7-dimethyladamantane-1-carboxamide
LDPC0317	C060	PAL-AfBPP Probe	146152931	Z4282859901	343.5	C20H29N3O2	63	612	2.7	25	1	4	8	InChI=1S/C20H29N3O2/c1-3-4-6-20(22-23-20)7-5-17(24)21-14-18-9-15-8-16(10-18)12-19(11-15,13-18)25-2/h1,15-16H,4-14H2,2H3,(H,21,24)	COC12CC3CC(C1)CC(C3)(C2)CNC(=O)CCC4(N=N4)CCC#C	COC12CC3CC(C1)CC(C3)(C2)CNC(=O)CCC4(N=N4)CCC#C	PRXNGBKMAXRTHZ-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[(3-methoxy-1-adamantyl)methyl]propanamide
LDPC0318	C061	PAL-AfBPP Probe	146149823	Z3433405617	341.4	C15H23N3O4S	106	602	1	23	1	6	8	InChI=1S/C15H23N3O4S/c1-3-4-7-15(17-18-15)8-9-16-14(19)12(2)23(20,21)13-5-10-22-11-6-13/h1,12-13H,4-11H2,2H3,(H,16,19)	CC(C(=O)NCCC1(N=N1)CCC#C)S(=O)(=O)C2CCOCC2	CC(C(=O)NCCC1(N=N1)CCC#C)S(=O)(=O)C2CCOCC2	MNPJABVRPZCGEL-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-(oxan-4-ylsulfonyl)propanamide
LDPC0319	C062	PAL-AfBPP Probe	146152962	Z4282860172	341.4	C17H19N5O3	114	662	0.5	25	1	6	7	InChI=1S/C17H19N5O3/c1-2-3-5-17(20-21-17)6-4-12(23)22-8-10-7-11(22)13(10)15-14(16(18)24)19-9-25-15/h1,9-11,13H,3-8H2,(H2,18,24)	C#CCCC1(N=N1)CCC(=O)N2CC3CC2C3C4=C(N=CO4)C(=O)N	C#CCCC1(N=N1)CCC(=O)N2CC3CC2C3C4=C(N=CO4)C(=O)N	LWODQWITVVXFEX-UHFFFAOYSA-N	5-[2-[3-(3-but-3-ynyldiazirin-3-yl)propanoyl]-2-azabicyclo[2.1.1]hexan-5-yl]-1,3-oxazole-4-carboxamide
LDPC0320	C063	PAL-AfBPP Probe	146152652	Z4225970074	335.4	C19H21N5O	71.6	602	2.3	25	1	4	7	InChI=1S/C19H21N5O/c1-3-4-9-19(22-23-19)10-11-20-18(25)15-12-14(15)17-13-7-5-6-8-16(13)24(2)21-17/h1,5-8,14-15H,4,9-12H2,2H3,(H,20,25)/t14-,15-/m1/s1	CN1C2=CC=CC=C2C(=N1)[C@@H]3C[C@H]3C(=O)NCCC4(N=N4)CCC#C	CN1C2=CC=CC=C2C(=N1)C3CC3C(=O)NCCC4(N=N4)CCC#C	NPHIPFVSXULONT-HUUCEWRRSA-N	(1R,2R)-N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-(1-methylindazol-3-yl)cyclopropane-1-carboxamide
LDPC0321	C064	PAL-AfBPP Probe	146149833	.	335.358	C16H19F2N5O	71.64	335.1557667	2.3912	24	1	5	8	InChI=1S/C16H19F2N5O/c1-2-3-7-16(21-22-16)8-9-19-13(24)10-23-12-6-4-5-11(12)14(20-23)15(17)18/h1,15H,3-10H2,(H,19,24)	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n2nc(C([H])(F)F)c3c2C([H])([H])C([H])([H])C3([H])[H])N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n2nc(C([H])(F)F)c3c2C([H])([H])C([H])([H])C3([H])[H])N=N1	PPTCIVBVCLRZNZ-UHFFFAOYSA-N	.
LDPC0322	C065	PAL-AfBPP Probe	146149809	Z3433404796	334.32	C16H16F2N4O2	82.9	542	2	24	2	6	8	InChI=1S/C16H16F2N4O2/c1-2-3-4-16(21-22-16)5-6-19-14(23)10-20-15(24)11-7-12(17)9-13(18)8-11/h1,7-9H,3-6,10H2,(H,19,23)(H,20,24)	C#CCCC1(N=N1)CCNC(=O)CNC(=O)C2=CC(=CC(=C2)F)F	C#CCCC1(N=N1)CCNC(=O)CNC(=O)C2=CC(=CC(=C2)F)F	GFRSZVIBJHFAEQ-UHFFFAOYSA-N	N-[2-[2-(3-but-3-ynyldiazirin-3-yl)ethylamino]-2-oxoethyl]-3,5-difluorobenzamide
LDPC0323	C067	PAL-AfBPP Probe	146152641	Z4225964065	331.33	C15H20F3N3O2	63	496	3	23	1	7	7	InChI=1S/C15H20F3N3O2/c1-2-3-8-14(20-21-14)9-10-19-13(22)11-4-6-12(7-5-11)23-15(16,17)18/h1,11-12H,3-10H2,(H,19,22)	C#CCCC1(N=N1)CCNC(=O)C2CCC(CC2)OC(F)(F)F	C#CCCC1(N=N1)CCNC(=O)C2CCC(CC2)OC(F)(F)F	VHZBSUROFVEPFH-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-4-(trifluoromethoxy)cyclohexane-1-carboxamide
LDPC0324	C068	PAL-AfBPP Probe	146152941	Z4282859950	330.4	C18H26N4O2	74.1	565	2.2	24	1	4	7	InChI=1S/C18H26N4O2/c1-2-3-11-18(20-21-18)12-9-16(23)19-15-10-13-22(17(15)24)14-7-5-4-6-8-14/h1,14-15H,3-13H2,(H,19,23)	C#CCCC1(N=N1)CCC(=O)NC2CCN(C2=O)C3CCCCC3	C#CCCC1(N=N1)CCC(=O)NC2CCN(C2=O)C3CCCCC3	UINSKFPVILOAQR-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-(1-cyclohexyl-2-oxopyrrolidin-3-yl)propanamide
LDPC0325	C069	PAL-AfBPP Probe	146149757	.	329.322	C15H18F3N3O2	65.26	329.1351115	2.2563	23	1	4	6	InChI=1S/C15H18F3N3O2/c1-2-3-5-13(19-20-13)6-4-12(22)21-9-10-7-11(21)8-14(10,23)15(16,17)18/h1,10-11,23H,3-9H2/t10-,11-,14+/m0/s1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N2C([H])([H])[C@]3([H])C([H])([H])[C@@]2([H])C([H])([H])[C@]3(O[H])C(F)(F)F)N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C3([H])C([H])([H])C2([H])C([H])([H])C3(O[H])C(F)(F)F)N=N1	CISYHBXOLAYTBN-COPLHBTASA-N	.
LDPC0326	C070	PAL-AfBPP Probe	146153047	Z4286591341	328.4	C17H20N4OS	95	554	2.9	23	1	5	8	InChI=1S/C17H20N4OS/c1-2-3-8-17(20-21-17)9-10-18-15(22)14-13(11-4-5-11)19-16(23-14)12-6-7-12/h1,11-12H,3-10H2,(H,18,22)	C#CCCC1(N=N1)CCNC(=O)C2=C(N=C(S2)C3CC3)C4CC4	C#CCCC1(N=N1)CCNC(=O)C2=C(N=C(S2)C3CC3)C4CC4	NSOXMRCVRDZKGK-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2,4-dicyclopropyl-1,3-thiazole-5-carboxamide
LDPC0327	C071	PAL-AfBPP Probe	146149820	Z3433405303	328.4	C16H16N4O2S	108	510	2.1	23	1	6	8	InChI=1S/C16H16N4O2S/c1-2-3-5-16(19-20-16)6-7-17-14(21)9-13-11-23-15(18-13)12-4-8-22-10-12/h1,4,8,10-11H,3,5-7,9H2,(H,17,21)	C#CCCC1(N=N1)CCNC(=O)CC2=CSC(=N2)C3=COC=C3	C#CCCC1(N=N1)CCNC(=O)CC2=CSC(=N2)C3=COC=C3	BWBRTJSLYRUMBM-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-[2-(furan-3-yl)-1,3-thiazol-4-yl]acetamide
LDPC0328	C072	PAL-AfBPP Probe	146152579	Z4225926149	320.4	C19H20N4O	58.8	501	2.7	24	1	3	8	InChI=1S/C19H20N4O/c1-2-3-10-19(21-22-19)11-12-20-18(24)15-16-6-8-17(9-7-16)23-13-4-5-14-23/h1,4-9,13-14H,3,10-12,15H2,(H,20,24)	C#CCCC1(N=N1)CCNC(=O)CC2=CC=C(C=C2)N3C=CC=C3	C#CCCC1(N=N1)CCNC(=O)CC2=CC=C(C=C2)N3C=CC=C3	KMGMKALODGTZRZ-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-(4-pyrrol-1-ylphenyl)acetamide
LDPC0329	C073	PAL-AfBPP Probe	167958975	Z4250670130	318.4	C17H26N4O2	68.5	546	0.5	23	1	5	6	InChI=1S/C17H26N4O2/c1-3-4-6-17(18-19-17)7-5-15(23)21-11-14-10-20(2)9-8-16(14,12-21)13-22/h1,14,22H,4-13H2,2H3/t14-,16+/m1/s1	CN1CC[C@]2(CN(C[C@H]2C1)C(=O)CCC3(N=N3)CCC#C)CO	CN1CCC2(CN(CC2C1)C(=O)CCC3(N=N3)CCC#C)CO	ZBGBFLTXDQFNAU-ZBFHGGJFSA-N	1-[(3aR,7aS)-7a-(hydroxymethyl)-5-methyl-1,3,3a,4,6,7-hexahydropyrrolo[3,4-c]pyridin-2-yl]-3-(3-but-3-ynyldiazirin-3-yl)propan-1-one
LDPC0330	C075	PAL-AfBPP Probe	167852609	Z4282860704	315.33	C15H20F3N3O	53.8	524	3.4	22	1	6	7	InChI=1S/C15H20F3N3O/c1-4-5-7-14(20-21-14)8-6-11(22)19-12(15(16,17)18)10-9-13(10,2)3/h1,10,12H,5-9H2,2-3H3,(H,19,22)	CC1(CC1C(C(F)(F)F)NC(=O)CCC2(N=N2)CCC#C)C	CC1(CC1C(C(F)(F)F)NC(=O)CCC2(N=N2)CCC#C)C	RFKAHPMUEQPIED-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[1-(2,2-dimethylcyclopropyl)-2,2,2-trifluoroethyl]propanamide
LDPC0331	C078	PAL-AfBPP Probe	146149849	Z3433408336	295.34	C16H17N5O	71.6	502	1.7	22	1	4	6	InChI=1S/C16H17N5O/c1-3-4-7-16(19-20-16)8-10-18-15(22)13-14-12(5-9-17-13)6-11-21(14)2/h1,5-6,9,11H,4,7-8,10H2,2H3,(H,18,22)	CN1C=CC2=C1C(=NC=C2)C(=O)NCCC3(N=N3)CCC#C	CN1C=CC2=C1C(=NC=C2)C(=O)NCCC3(N=N3)CCC#C	XBZLUYQWKBFNBC-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-1-methylpyrrolo[2,3-c]pyridine-7-carboxamide
LDPC0332	C079	PAL-AfBPP Probe	146152638	.	292.383	C15H24N4O2	66.29	292.189926	1.1774	21	1	5	10	InChI=1S/C15H24N4O2/c1-4-5-8-15(17-18-15)9-10-16-14(20)13-7-6-12(21-13)11-19(2)3/h1,12-13H,5-11H2,2-3H3,(H,16,20)/t12-,13+/m0/s1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])N([H])C(=O)[C@]2([H])O[C@]([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])N([H])C(=O)C2([H])OC([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])N=N1	YGDDHWUEWXSOOR-QWHCGFSZSA-N	.
LDPC0333	C081	PAL-AfBPP Probe	167992379	Z4282860435	411.4	C19H24F3N5O2	72.1	683	2.2	29	0	8	7	InChI=1S/C19H24F3N5O2/c1-4-5-7-18(24-25-18)8-6-16(28)26-9-10-29-11-15(26)17-13(2)23-27(14(17)3)12-19(20,21)22/h1,15H,5-12H2,2-3H3	CC1=C(C(=NN1CC(F)(F)F)C)C2COCCN2C(=O)CCC3(N=N3)CCC#C	CC1=C(C(=NN1CC(F)(F)F)C)C2COCCN2C(=O)CCC3(N=N3)CCC#C	RLZBKGSZVACBFW-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-1-[3-[3,5-dimethyl-1-(2,2,2-trifluoroethyl)pyrazol-4-yl]morpholin-4-yl]propan-1-one
LDPC0334	C082	PAL-AfBPP Probe	146152924	Z4282859870	404.5	C20H28N4O3S	99.6	724	2.9	28	1	6	10	InChI=1S/C20H28N4O3S/c1-6-9-11-20(22-23-20)12-10-19(25)21-18-14-17(13-15(4)16(18)5)28(26,27)24(7-2)8-3/h1,13-14H,7-12H2,2-5H3,(H,21,25)	CCN(CC)S(=O)(=O)C1=CC(=C(C(=C1)C)C)NC(=O)CCC2(N=N2)CCC#C	CCN(CC)S(=O)(=O)C1=CC(=C(C(=C1)C)C)NC(=O)CCC2(N=N2)CCC#C	OFEAEQOSRTUCPM-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[5-(diethylsulfamoyl)-2,3-dimethylphenyl]propanamide
LDPC0335	C083	PAL-AfBPP Probe	166417640	Z4286591589	404.5	C22H20N4O2S	99.4	703	3.7	29	1	5	8	InChI=1S/C22H20N4O2S/c1-2-3-13-22(24-25-22)14-15-23-20(27)19(16-9-5-4-6-10-16)26-21(28)17-11-7-8-12-18(17)29-26/h1,4-12,19H,3,13-15H2,(H,23,27)	C#CCCC1(N=N1)CCNC(=O)C(C2=CC=CC=C2)N3C(=O)C4=CC=CC=C4S3	C#CCCC1(N=N1)CCNC(=O)C(C2=CC=CC=C2)N3C(=O)C4=CC=CC=C4S3	CPSDVKFZOUJZTD-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-(3-oxo-1,2-benzothiazol-2-yl)-2-phenylacetamide
LDPC0336	C084	PAL-AfBPP Probe	146153065	Z4286591571	403.5	C18H21N5O4S	129	789	0.7	28	2	7	8	InChI=1S/C18H21N5O4S/c1-2-3-7-18(21-22-18)8-9-20-17(25)14-5-4-6-15(12-14)28(26,27)23-11-10-19-16(24)13-23/h1,4-6,12H,3,7-11,13H2,(H,19,24)(H,20,25)	C#CCCC1(N=N1)CCNC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCNC(=O)C3	C#CCCC1(N=N1)CCNC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCNC(=O)C3	UDBZDDCSGFEQEG-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-3-(3-oxopiperazin-1-yl)sulfonylbenzamide
LDPC0337	C085	PAL-AfBPP Probe	146153074	Z4286591615	395.5	C21H29N7O	97.4	735	3.4	29	1	6	8	InChI=1S/C21H29N7O/c1-3-4-5-21(25-26-21)6-7-22-18(29)13-19-9-16-8-17(10-19)12-20(11-16,14-19)28-24-15(2)23-27-28/h1,16-17H,4-14H2,2H3,(H,22,29)	CC1=NN(N=N1)C23CC4CC(C2)CC(C4)(C3)CC(=O)NCCC5(N=N5)CCC#C	CC1=NN(N=N1)C23CC4CC(C2)CC(C4)(C3)CC(=O)NCCC5(N=N5)CCC#C	ACAQYYOHMFPNBE-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-2-[3-(5-methyltetrazol-2-yl)-1-adamantyl]acetamide
LDPC0338	C086	PAL-AfBPP Probe	146152983	Z4282860489	392.4	C19H19F3N4O2	74.1	691	2.6	28	1	7	6	InChI=1S/C19H19F3N4O2/c1-2-3-9-18(24-25-18)10-8-15(27)26-12-11-23-17(28)16(26)13-6-4-5-7-14(13)19(20,21)22/h1,4-7,16H,3,8-12H2,(H,23,28)	C#CCCC1(N=N1)CCC(=O)N2CCNC(=O)C2C3=CC=CC=C3C(F)(F)F	C#CCCC1(N=N1)CCC(=O)N2CCNC(=O)C2C3=CC=CC=C3C(F)(F)F	SKMPAPZTJRCHRW-UHFFFAOYSA-N	4-[3-(3-but-3-ynyldiazirin-3-yl)propanoyl]-3-[2-(trifluoromethyl)phenyl]piperazin-2-one
LDPC0339	C087	PAL-AfBPP Probe	166410065	Z3433408107	390.4	C20H22N8O	102	696	2	29	1	6	7	InChI=1S/C20H22N8O/c1-5-6-9-20(25-26-20)10-11-21-19(29)17-14-7-8-16(22-18(14)28(4)24-17)15-12-27(3)23-13(15)2/h1,7-8,12H,6,9-11H2,2-4H3,(H,21,29)	CC1=NN(C=C1C2=NC3=C(C=C2)C(=NN3C)C(=O)NCCC4(N=N4)CCC#C)C	CC1=NN(C=C1C2=NC3=C(C=C2)C(=NN3C)C(=O)NCCC4(N=N4)CCC#C)C	LVHGOMAIBKLKGF-UHFFFAOYSA-N	N-[2-(3-but-3-ynyldiazirin-3-yl)ethyl]-6-(1,3-dimethylpyrazol-4-yl)-1-methylpyrazolo[3,4-b]pyridine-3-carboxamide
LDPC0340	C088	PAL-AfBPP Probe	146152910	Z4282859776	382.5	C18H30N4O3S	99.6	681	2.1	26	1	6	9	InChI=1S/C18H30N4O3S/c1-5-7-10-18(20-21-18)11-8-17(23)19-16-9-12-22(13-15(16)6-2)26(24,25)14(3)4/h1,14-16H,6-13H2,2-4H3,(H,19,23)	CCC1CN(CCC1NC(=O)CCC2(N=N2)CCC#C)S(=O)(=O)C(C)C	CCC1CN(CCC1NC(=O)CCC2(N=N2)CCC#C)S(=O)(=O)C(C)C	WFAOLTYTWLZCJU-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-(3-ethyl-1-propan-2-ylsulfonylpiperidin-4-yl)propanamide
LDPC0341	C089	PAL-AfBPP Probe	146152992	Z4282860673	381.5	C21H27N5O2	70.4	650	2	28	0	6	7	InChI=1S/C21H27N5O2/c1-3-5-9-21(23-24-21)10-8-19(27)25-13-16-7-6-11-22-20(16)26-15-18(28-4-2)12-17(26)14-25/h1,6-7,11,17-18H,4-5,8-10,12-15H2,2H3/t17-,18+/m0/s1	CCO[C@@H]1C[C@H]2CN(CC3=C(N2C1)N=CC=C3)C(=O)CCC4(N=N4)CCC#C	CCOC1CC2CN(CC3=C(N2C1)N=CC=C3)C(=O)CCC4(N=N4)CCC#C	YUSBUFUYQVKOCC-ZWKOTPCHSA-N	3-(3-but-3-ynyldiazirin-3-yl)-1-[(4R,6S)-4-ethoxy-2,8,14-triazatricyclo[8.4.0.02,6]tetradeca-1(10),11,13-trien-8-yl]propan-1-one
LDPC0342	C091	PAL-AfBPP Probe	146152953	Z4282860054	372.4	C20H25FN4O2	66.3	600	3	27	1	6	7	InChI=1S/C20H25FN4O2/c1-4-5-7-20(23-24-20)8-6-19(26)22-17-9-16(21)10-18(11-17)25-12-14(2)27-15(3)13-25/h1,9-11,14-15H,5-8,12-13H2,2-3H3,(H,22,26)/t14-,15+	C[C@@H]1CN(C[C@@H](O1)C)C2=CC(=CC(=C2)NC(=O)CCC3(N=N3)CCC#C)F	CC1CN(CC(O1)C)C2=CC(=CC(=C2)NC(=O)CCC3(N=N3)CCC#C)F	YQBSXGHMTAAYSY-GASCZTMLSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[3-[(2S,6R)-2,6-dimethylmorpholin-4-yl]-5-fluorophenyl]propanamide
LDPC0343	C092	PAL-AfBPP Probe	146152900	Z4282859713	371.4	C22H21N5O	71.6	632	3.7	28	1	4	8	InChI=1S/C22H21N5O/c1-2-3-13-22(25-26-22)14-11-21(28)23-20-12-15-27(24-20)16-18-9-6-8-17-7-4-5-10-19(17)18/h1,4-10,12,15H,3,11,13-14,16H2,(H,23,24,28)	C#CCCC1(N=N1)CCC(=O)NC2=NN(C=C2)CC3=CC=CC4=CC=CC=C43	C#CCCC1(N=N1)CCC(=O)NC2=NN(C=C2)CC3=CC=CC4=CC=CC=C43	VSUGYYFEEDPTAM-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[1-(naphthalen-1-ylmethyl)pyrazol-3-yl]propanamide
LDPC0344	C093	PAL-AfBPP Probe	146153020	.	365.377	C14H18F3N3O3S	87.96	365.1020971	1.8239	24	1	5	9	InChI=1S/C14H18F3N3O3S/c1-3-4-6-13(19-20-13)7-5-11(21)18-9-12(24(2,22)23)8-10(12)14(15,16)17/h1,10H,4-9H2,2H3,(H,18,21)/t10-,12+/m0/s1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[C@]2(S(=O)(=O)C([H])([H])[H])C([H])([H])[C@]2([H])C(F)(F)F)N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C2(S(=O)(=O)C([H])([H])[H])C([H])([H])C2([H])C(F)(F)F)N=N1	IMHYSNMIOFTKBT-CMPLNLGQSA-N	.
LDPC0345	C094	PAL-AfBPP Probe	167929740	Z4282859879	363.34	C17H16F3N5O	78.5	643	3.2	26	1	8	8	InChI=1S/C17H16F3N5O/c1-2-3-9-15(22-23-15)10-8-14(26)21-11-12-4-6-13(7-5-12)16(24-25-16)17(18,19)20/h1,4-7H,3,8-11H2,(H,21,26)	C#CCCC1(N=N1)CCC(=O)NCC2=CC=C(C=C2)C3(N=N3)C(F)(F)F	C#CCCC1(N=N1)CCC(=O)NCC2=CC=C(C=C2)C3(N=N3)C(F)(F)F	RSRQJMWPPIUHSI-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-[[4-[3-(trifluoromethyl)diazirin-3-yl]phenyl]methyl]propanamide
LDPC0346	C095	PAL-AfBPP Probe	146152940	Z4282859949	361.4	C19H19N7O	100	629	2.5	27	2	5	7	InChI=1S/C19H19N7O/c1-3-4-11-19(24-25-19)12-10-14(27)20-17-15-16(13-8-6-5-7-9-13)23-26(2)18(15)22-21-17/h1,5-9H,4,10-12H2,2H3,(H2,20,21,22,27)	CN1C2=NNC(=C2C(=N1)C3=CC=CC=C3)NC(=O)CCC4(N=N4)CCC#C	CN1C2=NNC(=C2C(=N1)C3=CC=CC=C3)NC(=O)CCC4(N=N4)CCC#C	XSDJWHWOHOTGET-UHFFFAOYSA-N	3-(3-but-3-ynyldiazirin-3-yl)-N-(6-methyl-4-phenyl-2H-pyrazolo[3,4-c]pyrazol-3-yl)propanamide
LDPC0347	C098	PAL-AfBPP Probe	146152649	.	344.846	C18H21ClN4O	66.71	344.140389	3.5564	24	1	4	9	InChI=1S/C18H21ClN4O/c1-4-5-7-18(22-23-18)8-10-21-16(24)15-14(17(15,2)3)12-6-9-20-11-13(12)19/h1,6,9,11,14-15H,5,7-8,10H2,2-3H3,(H,21,24)/t14-,15+/m1/s1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])N([H])C(=O)[C@@]2([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]2([H])c2c([H])c([H])nc([H])c2Cl)N=N1	[H]C#CC([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])N([H])C(=O)C2([H])C([H])(c3c([H])c([H])nc([H])c3Cl)C2(C([H])([H])[H])C([H])([H])[H])N=N1	PZPGUROSXAJPMC-CABCVRRESA-N	.
